TDC_KVHX;CanOrderFiber;CanOrderCoax;IsRgu
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;False
1010001000;False;False;False
1010001000;False;False;False
1010001000;False;False;False
1010001000;False;False;False
1010001000;False;False;False
1010001000;False;False;False
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;False
1010001000;False;False;True
1010002000;False;False;False
1010004021 01;False;False;True
1010004024 ST;False;False;True
1010004024 ST;False;False;True
1010010999;False;False;False
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;False
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;False
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
1010010999;False;False;True
